project,year,finder,category,cves
curl,2019,l00p3r,other,1
curl,2019,Wenchao Li,other,1
curl,2019,Brian Carpenter (Geeknik Labs),other,1
curl,2020,Ospoco,other,1
curl,2020,xnynx on github,other,1
curl,2020,Varnavas Papaioannou,other,1
curl,2020,Marc Aldorasi,other,1
curl,2020,sn on hackerone,other,1
curl,2020,Marek Szlagor,other,1
curl,2020,Gregory Jefferis,other,1
curl,2020,Jeroen Ooms,other,1
curl,2021,Harry Sintonen,other,7
curl,2021,Patrick Monnerat,other,2
curl,2021,z2_,other,1
curl,2021,Red Hat Product Security,other,1
curl,2021,Mingtao Yang (Facebook),other,1
curl,2021,Viktor Szakats,other,1
curl,2022,Harry Sintonen,other,9
curl,2022,Axel Chong,other,4
curl,2022,Hiroki Kurosawa,other,3
curl,2022,Trail of Bits,other,2
curl,2022,Robby Simpson,other,1
curl,2022,Florian Kohnhäuser,other,1
curl,2022,Patrick Monnerat,other,1
curl,2023,Harry Sintonen,other,9
curl,2023,Hiroki Kurosawa,other,3
curl,2023,Maksymilian Arciemowicz,other,1
curl,2023,w0x42 on hackerone,other,1
curl,2023,Jay Satiro,other,1
curl,2023,selmelc on hackerone,other,1
curl,2023,Wei Chong Tan,other,1
curl,2023,Patrick Monnerat,other,1
curl,2024,Hiroki Kurosawa,other,2
curl,2024,z2_,other,2
curl,2024,Harry Sintonen,other,1
curl,2024,newfunction,other,1
curl,2024,Dov Murik (Transmit Security),other,1
curl,2024,Frank Yueh,other,1
curl,2024,w0x42 on hackerone,other,1
curl,2024,Dexter Gerig,other,1
curl,2024,Dan Fandrich,other,1
curl,2025,Hiroki Kurosawa,other,2
curl,2025,Stanislav Fort (Aisle Research),ai,1
curl,2025,Calvin Ruocco (Vector Informatik GmbH),other,1
curl,2025,Google Big Sleep,ai,1
curl,2025,z2_ on hackerone,other,1
curl,2025,z2_,other,1
curl,2025,Ankom Coper,other,1
curl,2025,Christian Heusel,other,1
curl,2025,Yihang Zhou,other,1
curl,2026,Joshua Rogers (Aisle Research),ai,6
curl,2026,Muhamad Arga Reksapati,other,4
curl,2026,Stanislav Fort (Aisle Research),ai,3
curl,2026,Harry Sintonen,other,2
curl,2026,alienowo on hackerone (AntAISecurityLab),ai,1
curl,2026,jjchuck on hackerone,other,1
curl,2026,evergarden1123 on hackerone (AntAISecurityLab),ai,1
curl,2026,Filipe Casal of Trail of Bits in collaboration with OpenAI,ai,1
curl,2026,vectorqueue on hackerone (AntAISecurityLab),ai,1
curl,2026,renjian on hackerone,other,1
curl,2026,Eunsoo Kim (Autonomous Code Security team at Microsoft),ai,1
curl,2026,Guannan Wang,other,1
curl,2026,Zhanpeng Liu,other,1
curl,2026,Jiashuo Liang,other,1
curl,2026,Guancheng Li,other,1
curl,2026,Ady Elouej,other,1
curl,2026,vegagent on hackerone,other,1
curl,2026,Andrew Nesbitt (powered by Mythos),ai,1
curl,2026,Carlos Carrillo,other,1
curl,2026,Dwij Mehta (O2 Lab,other,1
curl,2026,Texas A&M University),other,1
curl,2026,Osama Hamad,other,1
curl,2026,Quac Tran and Ngoc Hieu,other,1
curl,2026,Arkadi Vainbrand,other,1
curl,2026,Daniel Wade,other,1
curl,2026,Muhamad Arga Reksapati (HackerOne: nobcoder),other,1
curl,2026,spectreglobalsec on hackerone,other,1
curl,2026,Zhicheng Chen,other,1
curl,2026,anonymous237 on hackerone,other,1
firefox,2016,Nils,other,19
firefox,2016,Mozilla developers,other,12
firefox,2016,Abhishek Arya,other,7
firefox,2016,Holger Fuhrmannek,other,6
firefox,2016,Atte Kettunen,other,5
firefox,2016,Multiple people,other,5
firefox,2016,Samuel Groß,other,4
firefox,2016,Wladimir Palant,other,4
firefox,2016,Mei Wang,other,3
firefox,2016,Brian Carpenter,other,3
firefox,2016,Philipp,other,3
firefox,2016,André Bargull,other,3
firefox,2016,Yuyang Zhou,other,3
firefox,2016,Franziskus Kiefer,other,3
firefox,2016,echo,other,3
firefox,2016,Andrew Krasichkov,other,3
firefox,2016,Aral,other,3
firefox,2016,insertscript,other,3
firefox,2016,Jann Horn,other,3
firefox,2016,Catalin Dumitru,other,2
firefox,2016,Kris Maglione,other,2
firefox,2016,Ken Okuyama,other,2
firefox,2016,Rafael Gieschke,other,1
firefox,2016,Richard Newman,other,1
firefox,2016,Gavin Sharp,other,1
firefox,2016,Developers at Cliqz.com,other,1
firefox,2016,Daniel Browning,other,1
firefox,2016,Raphael,other,1
firefox,2016,Bob Owen,other,1
firefox,2016,Markus Stange,other,1
firefox,2016,Jordi Chancel,other,1
firefox,2016,Daniel D.,other,1
firefox,2016,Abdulrahman Alqabandi,other,1
firefox,2016,Will Bamberg,other,1
firefox,2016,Mats Palmgren,other,1
firefox,2016,Gustavo Grieco,other,1
firefox,2016,Xiaoyin Liu,other,1
firefox,2016,Alexander Inführ,other,1
firefox,2016,Obscured Team,other,1
firefox,2016,Filipe Gomes,other,1
firefox,2017,Nils,other,88
firefox,2017,Mozilla developers and community,other,33
firefox,2017,Nicolas Grégoire,other,15
firefox,2017,Ivan Fratric of Google Project Zero,other,12
firefox,2017,Chamal De Silva,other,12
firefox,2017,Atte Kettunen,other,11
firefox,2017,Holger Fuhrmannek,other,10
firefox,2017,Jun Kokatsu,other,10
firefox,2017,Jerri Rice,other,9
firefox,2017,Jordi Chancel,other,8
firefox,2017,Rh0,other,7
firefox,2017,Abdulrahman Alqabandi,other,7
firefox,2017,Anonymous,other,7
firefox,2017,Abhishek Arya,other,7
firefox,2017,Muneaki Nishimura,other,6
firefox,2017,Seb Patane,other,6
firefox,2017,Jann Horn,other,5
firefox,2017,Looben Yang,other,5
firefox,2017,Haik Aftandilian,other,5
firefox,2017,Jose María Acuña,other,5
firefox,2017,Anton Eliasson,other,4
firefox,2017,David Kohlbrenner,other,4
firefox,2017,Eric Lawrence of Chrome Security,other,4
firefox,2017,Ronald Crane,other,4
firefox,2017,Takeshi Terada,other,4
firefox,2017,Chun Han Hsiao,other,4
firefox,2017,Huzaifa Sidhpurwala,other,4
firefox,2017,Petr Cerny,other,4
firefox,2017,"Vladimir Klebanov, Franziskus Kiefer",other,4
firefox,2017,Filipe Gomes,other,3
firefox,2017,Armin Ebert,other,3
firefox,2017,Anonymous working with Trend Micro's Zero Day Initiative,other,3
firefox,2017,Heather Miller of Google Skia team,other,3
firefox,2017,Tobias Klein,other,3
firefox,2017,"Yuji Tounai of NTT Communications, Eili Masami of Tachibana Lab",other,3
firefox,2017,F. Alonso (revskills),other,3
firefox,2017,"Holger Fuhrmannek, Tyson Smith",other,3
firefox,2017,Nicolas Trippar of Zimperium zLabs,other,3
firefox,2017,Michał Bentkowski,other,3
firefox,2017,Samuel Erb,other,3
firefox,2017,Jonathan Birch and Microsoft Vulnerability Research,other,3
firefox,2017,Frederik Braun,other,3
firefox,2017,SkyLined,other,3
firefox,2017,Oliver Wagner,other,3
firefox,2017,Mathias Karlsson,other,3
firefox,2017,Fraser Tweedale,other,3
firefox,2017,Stephen Fewer,other,3
firefox,2017,Arthur Edelstein,other,3
firefox,2017,Rhys Enniks,other,3
firefox,2017,"Omair, Andre Weissflog",other,3
firefox,2017,Martin Thomson,other,3
firefox,2017,François Marier,other,3
firefox,2017,Khalil Zhani,other,3
firefox,2017,Omair,other,3
firefox,2017,cure53,other,3
firefox,2017,Radek 'sysKin' Czyz,other,2
firefox,2017,Jed Davis,other,2
firefox,2017,Chris Hamono,other,2
firefox,2017,Alex Bolton,other,2
firefox,2017,Paul Theriault,other,2
firefox,2017,Julian Hector,other,2
firefox,2017,Oriol Brufau,other,2
firefox,2017,Konark,other,2
firefox,2017,Kris Maglione,other,1
firefox,2017,"Paul Stone, Alex Chapman",other,1
firefox,2017,Honza Bambas,other,1
firefox,2017,Stuart Colville,other,1
firefox,2017,Mustafa Hasan,other,1
firefox,2017,Cullen Jennings,other,1
firefox,2017,Jim Chen,other,1
firefox,2017,Michal Zalewski,other,1
firefox,2017,Mike Kaply,other,1
firefox,2017,Chaitin Security Research Lab via Trend Micro's Zero Day Initiative,other,1
firefox,2017,Haosheng Wang,other,1
firefox,2017,Daniel Veditz,other,1
firefox,2017,"Bob Clary, Looben Yang",other,1
firefox,2017,Antonio Sanso,other,1
firefox,2017,Amit Sangra,other,1
firefox,2017,Xiaoyin Liu,other,1
firefox,2017,Matt Howell,other,1
firefox,2017,Anne van Kesteren,other,1
firefox,2017,Raphael Saniyazov,other,1
firefox,2017,Tooru Fujisawa,other,1
firefox,2017,Kestrel,other,1
firefox,2017,Thanh Bui,other,1
firefox,2017,Jonathan Kew,other,1
firefox,2017,Rayyan Bijoora,other,1
firefox,2017,Ben Kelly,other,1
firefox,2017,Ezra Caltum,other,1
firefox,2017,Corey Bonnell,other,1
firefox,2017,Eric Lawrence,other,1
firefox,2017,Hanno Böck,other,1
firefox,2017,Daniel Jackson,other,1
firefox,2017,Sabri Haddouche,other,1
firefox,2018,Nils,other,61
firefox,2018,Mozilla developers and community,other,37
firefox,2018,Abdulrahman Alqabandi,other,16
firefox,2018,R at Zero Day LLC,other,9
firefox,2018,Jun Kokatsu,other,8
firefox,2018,Wladimir Palant,other,8
firefox,2018,OSS-Fuzz,fuzz,7
firefox,2018,Rob Wu,other,6
firefox,2018,Alex Gaynor,other,6
firefox,2018,"Damian Poddebniak, Christian Dresen, Jens Müller, Fabian Ising, Sebastian Schinzel, Simon Friedberger, Juraj Somorovsky, Jörg Schwenk",other,5
firefox,2018,F. Alonso (revskills),other,5
firefox,2018,David Black,other,5
firefox,2018,Andrea Marchesini,other,4
firefox,2018,Root Object,other,4
firefox,2018,James Lee (@Windowsrcer) of Kryptos Logic,other,4
firefox,2018,Looben Yang,other,3
firefox,2018,Anonymous,other,3
firefox,2018,xisigr of Tencent's Xuanwu Lab,other,3
firefox,2018,James Grant,other,3
firefox,2018,Ben Kelly,other,3
firefox,2018,Masato Kinugawa,other,3
firefox,2018,Ivan Fratric,other,3
firefox,2018,Jimmy,other,3
firefox,2018,anonymous,other,3
firefox,2018,Zhanjia Song,other,3
firefox,2018,Holger Fuhrmannek,other,3
firefox,2018,Filippo Cavallarin,other,3
firefox,2018,Jurgen Gaeremyn,other,3
firefox,2018,Philipp,other,3
firefox,2018,Omair,other,3
firefox,2018,Atte Kettunen,other,3
firefox,2018,Khalil Zhani,other,2
firefox,2018,Tony Paloma,other,2
firefox,2018,Andy McKay,other,2
firefox,2018,Richard Zhu via Trend Micro's Zero Day Initiative,other,2
firefox,2018,Jordi Chancel,other,2
firefox,2018,Mozilla Developers,other,2
firefox,2018,cure53,other,2
firefox,2018,Jonathan Kingston,other,2
firefox,2018,Jana Squires,other,2
firefox,2018,"Rob Wu, Andrew Swan",other,2
firefox,2018,James Lee of Kryptos Logic,other,2
firefox,2018,Andreas Pehrson,other,1
firefox,2018,Ron Warholic,other,1
firefox,2018,Mario Gomes,other,1
firefox,2018,Inko,other,1
firefox,2018,Jerry Decime,other,1
firefox,2018,Ronen Zilberman,other,1
firefox,2018,Paul Theriault,other,1
firefox,2018,Casper of Tencent's Xuanwu Lab,other,1
firefox,2018,François Lajeunesse-Robert,other,1
firefox,2018,rugk,other,1
firefox,2018,Zohar,other,1
firefox,2018,Huzaifa Sidhpurwala,other,1
firefox,2018,Jesse Schwartzentruber,other,1
firefox,2018,Andreas Perhson,other,1
firefox,2018,Dennis Fuchs,other,1
firefox,2018,Nicolas B. Pierron,other,1
firefox,2018,Francois Lajeunesse Robert,other,1
firefox,2018,Tadj Youssouf,other,1
firefox,2018,Guyio,other,1
firefox,2018,David Parks,other,1
firefox,2018,Yannic Bonenberger,other,1
firefox,2018,Ivan Fratric of Google Project Zero,other,1
firefox,2018,Hanno Boeck,other,1
firefox,2018,"Niklas Baumstark, Samuel Groß, Bruno Keith via Beyond Security’s SecuriTeam Secure Disclosure program",other,1
firefox,2018,"Bruno Keith, Niklas Baumstark via Beyond Security’s SecuriTeam Secure Disclosure program",other,1
firefox,2018,cgvwzq,other,1
firefox,2018,"Björn Ruytenberg, 1lastBr3ath",other,1
firefox,2018,Mathias Wu,other,1
firefox,2018,Konark Modi,other,1
firefox,2018,Yiğit Can Yilmaz,other,1
firefox,2018,Omair working with iDefense Labs,other,1
firefox,2018,Kestrel,other,1
firefox,2018,Hanno Böck,other,1
firefox,2019,Mozilla developers and community,other,36
firefox,2019,Nils,other,34
firefox,2019,Samuel Groß of Google Project Zero,other,9
firefox,2019,Zhanjia Song,other,8
firefox,2019,Hanno Böck,other,7
firefox,2019,Rakesh Mane,other,7
firefox,2019,AaylaSecura1138,other,6
firefox,2019,Abdulrahman Alqabandi,other,6
firefox,2019,Tran Tien Hung of Viettel Cyber Security,other,5
firefox,2019,Paul Stone,other,5
firefox,2019,Yoav Weiss,other,5
firefox,2019,Anonymous,other,4
firefox,2019,Luis Merino of X41 D-Sec,other,4
firefox,2019,Boris Zbarsky,other,4
firefox,2019,Gregory Smiley of Security Compass,other,4
firefox,2019,Jonas Allmann,other,4
firefox,2019,Linus Särud,other,4
firefox,2019,Tyson Smith,other,4
firefox,2019,Henry Corrigan-Gibbs,other,4
firefox,2019,Luigi Gubello,other,4
firefox,2019,Niklas Baumstark via TrendMicro's Zero Day Initiative,other,4
firefox,2019,Yaniv Frank with SophosLabs,other,3
firefox,2019,Jed Davis,other,3
firefox,2019,Jann Horn,other,3
firefox,2019,Ivan Fratric of Google Project Zero,other,3
firefox,2019,Brandon Wieser,other,3
firefox,2019,Bruno Keith & Niklas Baumstark from the phoenhex team,other,3
firefox,2019,Joshua Graham,other,3
firefox,2019,Daniel Veditz,other,3
firefox,2019,Richard Zhu and Amat Cama via Trend Micro's Zero Day Initiative,other,3
firefox,2019,Niklas Baumstark via Trend Micro's Zero Day Initiative,other,3
firefox,2019,"<a href=""https://mdsattacks.com/#People"">Multiple independent researchers</a>",other,3
firefox,2019,Luật Nguyễn,other,3
firefox,2019,Thomas Imbert,other,3
firefox,2019,crixer,other,3
firefox,2019,"OSS-Fuzz, Eddie Lee",fuzz,3
firefox,2019,Jeremy Fetiveau of SSD Secure Disclosure,other,3
firefox,2019,Niklas Baumstark,other,3
firefox,2019,Holger Fuhrmannek,other,3
firefox,2019,Sebastian Pipping,other,3
firefox,2019,Guido Vranken,other,3
firefox,2019,Cody Crews,other,3
firefox,2019,Kris Maglione,other,3
firefox,2019,Gareth Heyes,other,3
firefox,2019,Looben Yang,other,3
firefox,2019,Alexandru Michis,other,3
firefox,2019,Craig Disselkoen,other,3
firefox,2019,Robert Strong,other,3
firefox,2019,Mirko Brodesser,other,3
firefox,2019,Paul Theriault,other,2
firefox,2019,James Lee,other,2
firefox,2019,"Samuel Groß of Google Project Zero, Coinbase Security",other,2
firefox,2019,Coinbase Security,other,2
firefox,2019,Chris Hacking,other,2
firefox,2019,Andreas Wagner,other,2
firefox,2019,Frederik Braun,other,2
firefox,2019,Andrey,other,2
firefox,2019,Hubert Kario,other,2
firefox,2019,"Trishita Tiwari, Ari Trachtenberg",other,2
firefox,2019,Ping Fan (Zetta) Ke of VXRL working with iDefense Labs,other,2
firefox,2019,Seb Patane,other,2
firefox,2019,Jan-Ivar Bruaroey,other,2
firefox,2019,Andreas Pehrson,other,2
firefox,2019,Qixun Zhao of Qihoo 360 Vulcan Team,other,2
firefox,2019,Wladimir Palant,other,2
firefox,2019,Thomas Henlich,other,2
firefox,2019,"Jens Müller, Marcus Brinkmann, Damian Poddebniak, Sebastian Schinzel, Jörg Schwenk",other,2
firefox,2019,Markus Vervier of X41 D-SEC GmbH,other,1
firefox,2019,Wayne Mery,other,1
firefox,2019,Brandon Perry,other,1
firefox,2019,"Hanno Böck, Damian Poddebniak",other,1
firefox,2019,Damian Poddebniak,other,1
firefox,2019,Jeff Gilbert,other,1
firefox,2019,Stephen Fewer,other,1
firefox,2019,"Xiaoyin Liu, Vinothkumar Nagasayanan",other,1
firefox,2019,potatoe,other,1
firefox,2019,mlfbrown,other,1
firefox,2019,"Hanno Böck, Anca Soncutean",other,1
firefox,2019,"schattendeatroth, Hanno Böck",other,1
firefox,2019,Jun Kokatsu,other,1
firefox,2019,bignis,other,1
firefox,2019,tzachyr,other,1
firefox,2019,Peter af Geijerstam,other,1
firefox,2019,Mark Banner,other,1
firefox,2019,None,other,1
firefox,2019,Zhen Zhou of NSFOCUS Security Team,other,1
firefox,2019,Xiaoyin Liu,other,1
firefox,2019,Johann Hofmann,other,1
firefox,2019,Falko Strenzke,other,1
firefox,2019,Google Project Zero,other,1
firefox,2019,Emilio Cobos Álvarez,other,1
firefox,2019,Adrian Karolak from ING Tech Poland,other,1
firefox,2019,Yangzheng Li,other,1
firefox,2019,Matheus Vrech,other,1
firefox,2019,Kevin Brosnan,other,1
firefox,2019,J.C. Jones,other,1
firefox,2020,Mozilla developers and community,other,23
firefox,2020,Mozilla developers,other,22
firefox,2020,Natalie Silvanovich of Google Project Zero,other,11
firefox,2020,Thomas Imbert,other,8
firefox,2020,"Sohaib ul Hassan, Iaroslav Gridin, Ignacio M. Delgado-Lozano, Cesar Pereida García, Jesús-Javier Chi-Domínguez, Alejandro Cabrera Aldaya, and Billy Bob Brumley, Network and Information Security (NISEC) Group, Tampere University, Finland",other,8
firefox,2020,Deian Stefan,other,7
firefox,2020,Marcin 'Icewall' Noga of Cisco Talos,other,7
firefox,2020,Kaizer Soze,other,7
firefox,2020,Michał Bentkowski,other,6
firefox,2020,Sergei Glazunov of Google Project Zero,other,6
firefox,2020,Ophir LOJKINE,other,6
firefox,2020,Irvan Kurniawan (@sourc7),other,6
firefox,2020,Mikhail Oblozhikhin,other,5
firefox,2020,Reported by Pawel Wylecial of REDTEAM.PL,other,5
firefox,2020,Muneaki Nishimura,other,5
firefox,2020,Xiaoyin Liu,other,5
firefox,2020,Jason Kratzer,other,5
firefox,2020,Francisco Alonso @revskills working with Javier Marcos of @JMPSec,other,4
firefox,2020,worcester12345,other,4
firefox,2020,Byron Campen,other,4
firefox,2020,"Chuck Harmston, Robert Hardy",other,4
firefox,2020,bo13oy,other,3
firefox,2020,Vladimir Metnew,other,3
firefox,2020,terjanq,other,3
firefox,2020,Brian Carpenter,other,3
firefox,2020,C.M.Chang,other,3
firefox,2020,Jan-Ivar Bruaroey,other,3
firefox,2020,"Jeff Gilbert, Kenneth Russell",other,3
firefox,2020,Looben Yang,other,3
firefox,2020,David Yesland,other,3
firefox,2020,Cesar Pereida Garcia and the Network and Information Security Group (NISEC) at Tampere University,other,3
firefox,2020,Iain Ireland,other,3
firefox,2020,Pedro Oliveira,other,3
firefox,2020,Rob Wu,other,3
firefox,2020,Anne van Kesteren,other,3
firefox,2020,"Carl Smith, working with Google Project Zero",other,3
firefox,2020,belden,other,3
firefox,2020,Steve Nyan Lin,other,3
firefox,2020,SophosLabs Offensive Security team,other,3
firefox,2020,Richard Thomas and Tom Chothia of University of Birmingham,other,3
firefox,2020,Daniel Fröjdendahl,other,3
firefox,2020,Lukas Bernhard,other,3
firefox,2020,Mark Wodrich of Google,other,3
firefox,2020,Aleksejs Popovs,other,3
firefox,2020,Abdulrahman Alqabandi of Microsoft Browser Vulnerability Research,other,3
firefox,2020,Moti Harmats,other,3
firefox,2020,Bharadwaj Machiraju,other,3
firefox,2020,Zijie Zhao,other,3
firefox,2020,Gabriel Corona,other,3
firefox,2020,Makoto Kato,other,3
firefox,2020,tiebuchen,other,3
firefox,2020,André Bargull,other,3
firefox,2020,"Omair, Abraruddin Khan",other,3
firefox,2020,Kai Engert,other,3
firefox,2020,Pham Bao of VinCSS (Member of Vingroup),other,3
firefox,2020,"Samy Kamkar, Ben Seri, and Gregory Vishnepolsky",other,3
firefox,2020,Yassine Tioual,other,3
firefox,2020,Samuel Attard via the Chrome Security Team,other,3
firefox,2020,Christian Holler,other,3
firefox,2020,Qihoo 360 ATA,other,2
firefox,2020,Joshua Graham & Brendan Scarvell,other,2
firefox,2020,Chiaki ISHIKAWA,other,2
firefox,2020,Vinoth Kumar,other,2
firefox,2020,James Forshaw of Google Project Zero,other,2
firefox,2020,Niklas Baumstark,other,2
firefox,2020,Giorgio Maone,other,2
firefox,2020,Rayyan Bijoora,other,2
firefox,2020,Kevin Higgs,other,2
firefox,2020,Alex Mayorga,other,2
firefox,2020,Ronald Crane,other,2
firefox,2020,Riccardo Ancarani,other,2
firefox,2020,Paul Theriault,other,2
firefox,2020,Bruno Keith,other,2
firefox,2020,Frederik Braun,other,2
firefox,2020,Gunes Acar,other,2
firefox,2020,Tyson Smith,other,2
firefox,2020,Brian Carpenter via the ASAN Nightly project,other,2
firefox,2020,Siye Lui,other,1
firefox,2020,Prithwish Kumar Pal,other,1
firefox,2020,Matthew Somerville,other,1
firefox,2020,Google oss-fuzz,fuzz,1
firefox,2020,Jurgen Gaeremyn,other,1
firefox,2020,Stephan Lauffer,other,1
firefox,2020,Abdulrahman Alqabandi,other,1
firefox,2020,Jan Biniok,other,1
firefox,2020,Avi Drissman of the Chrome security team,other,1
firefox,2020,Matheus Vrech,other,1
firefox,2020,Leon Visscher,other,1
firefox,2020,Matthew Noorenberghe,other,1
firefox,2020,fatal0,other,1
firefox,2020,Juho Nurminen of Mattermost,other,1
firefox,2020,Kestrel,other,1
firefox,2020,Ahmed Elsobky (@0xSobky),other,1
firefox,2020,Nicolas Silva,other,1
firefox,2020,Damian Poddebniak,other,1
firefox,2020,Konark Modi - @konarkmodi,other,1
firefox,2020,Magnus Melin,other,1
firefox,2020,"Andrea Palazzo, Pedro Oliveira",other,1
firefox,2020,superxx,other,1
firefox,2020,Luan Herrera,other,1
firefox,2020,crixer,other,1
firefox,2020,Karol Frejlich,other,1
firefox,2020,Caelum van Ispelen,other,1
firefox,2020,Rotem Kerner,other,1
firefox,2020,Alon Zakai,other,1
firefox,2020,Lijo A.T.,other,1
firefox,2020,Cure53,other,1
firefox,2020,360政企安全漏洞研究院 in Tianfu Cup 2020 International Cybersecurity Contest,other,1
firefox,2020,Gary Kwong,other,1
firefox,2020,Kevin Brosnan,other,1
firefox,2020,Paul Stone,other,1
firefox,2020,Sachin Raste,other,1
firefox,2020,Chiaki Ishikawa,other,1
firefox,2020,Andrew Sutherland,other,1
firefox,2020,andrew g,other,1
firefox,2020,David Schütz,other,1
firefox,2021,Irvan Kurniawan,other,36
firefox,2021,Mozilla developers and community,other,28
firefox,2021,Mozilla developers,other,18
firefox,2021,Rob Wu,other,7
firefox,2021,Ademar Nowasky Junior,other,7
firefox,2021,Armin Ebert,other,7
firefox,2021,Yangkang of 360 ATA Team,other,7
firefox,2021,"Samy Kamkar, Ben Seri, and Gregory Vishnepolsky",other,6
firefox,2021,Abraruddin Khan and Omair,other,6
firefox,2021,Lukas Bernhard,other,6
firefox,2021,Gary Kwong,other,5
firefox,2021,Cure53,other,5
firefox,2021,Wladimir Palant working with Include Security,other,5
firefox,2021,James Lee,other,5
firefox,2021,Paul Zühlcke,other,4
firefox,2021,pahhur,other,4
firefox,2021,Marcin 'Icewall' Noga of Cisco Talos,other,4
firefox,2021,Muneaki Nishimura,other,3
firefox,2021,Masato Kinugawa,other,3
firefox,2021,Andreas Pehrson,other,3
firefox,2021,James Forshaw,other,3
firefox,2021,Jordi Chancel,other,3
firefox,2021,Nika Layzell,other,3
firefox,2021,Daniel Santos,other,3
firefox,2021,Christian Holler,other,3
firefox,2021,Frederik Braun,other,3
firefox,2021,Ronald Crane,other,3
firefox,2021,(Unknown),other,3
firefox,2021,Maor Kleinberger,other,3
firefox,2021,Julien Cristau,other,3
firefox,2021,Sergey Galich,other,3
firefox,2021,Takeshi Terada,other,3
firefox,2021,Raphael,other,3
firefox,2021,Hou JingYi,other,3
firefox,2021,Sunwoo Kim and Youngmin Kim of SNU CompSec Lab,other,3
firefox,2021,bo13oy of Cyber Kunlun Lab,other,3
firefox,2021,Irvan Kurniawan (@sourc7),other,3
firefox,2021,Asumu Takikawa and Ioanna Dimitriou,other,3
firefox,2021,chriscla,other,3
firefox,2021,Raphael Smolik,other,3
firefox,2021,Daniel Veditz,other,3
firefox,2021,Ned Williamson,other,2
firefox,2021,Jan-Ivar Bruaroey,other,2
firefox,2021,Andrew Sutherland,other,2
firefox,2021,"Hany Ragab, Enrico Barberis, Herbert Bos, and Cristiano Giuffrida from the VUSec group at VU Amsterdam",other,2
firefox,2021,"Mozilla Developers, Abraruddin Khan and Omair",other,2
firefox,2021,Neal Walfield,other,2
firefox,2021,Abdulrahman Alqabandi,other,1
firefox,2021,Eliya Stein,other,1
firefox,2021,Chiaki ISHIKAWA,other,1
firefox,2021,Damian Poddebniak,other,1
firefox,2021,Abraruddin Khan and Omair working with Trend Micro Zero Day Initiative,other,1
firefox,2021,J. Ryan Stinnett,other,1
firefox,2021,Masato Kinugawa and Michał Bentkowski,other,1
firefox,2021,Luca Moretto,other,1
firefox,2021,fatal0,other,1
