quantity,parameter,point,point_float,year,value,value_float
mu,sigma,27/40,0.675,1931,871/9840,0.08851626016260163
mu,sigma,27/40,0.675,1933,7391/83520,0.08849377394636015
mu,sigma,27/40,0.675,1942,41/464,0.08836206896551724
mu,sigma,27/40,0.675,1949,487/5520,0.08822463768115942
mu,sigma,27/40,0.675,1963,391/4440,0.08806306306306307
mu,sigma,27/40,0.675,1973,205/2328,0.08805841924398626
mu,sigma,27/40,0.675,1982,1141/12960,0.08804012345679012
mu,sigma,27/40,0.675,1985,103/1170,0.08803418803418804
mu,sigma,27/40,0.675,1988,5037/59480,0.08468392737054473
mu,sigma,27/40,0.675,1989,503241/5955160,0.08450503428959087
mu,sigma,27/40,0.675,1991,18703/221720,0.08435414035720729
mu,sigma,27/40,0.675,1993,130159/1545290,0.08422949737589708
mu,sigma,27/40,0.675,1995,2915837/35185920,0.08286942617956274
mu,sigma,27/40,0.675,1996,987157327/11922028680,0.08280111996845155
mu,sigma,27/40,0.675,2017,430267/5200800,0.08273092601138286
mu,sigma,27/40,0.675,2023,3151/38250,0.08237908496732026
mu,sigma,7/10,0.7,1920,11/140,0.07857142857142857
mu,sigma,7/10,0.7,1931,191/2460,0.07764227642276422
mu,sigma,7/10,0.7,1933,1621/20880,0.07763409961685824
mu,sigma,7/10,0.7,1942,9/116,0.07758620689655173
mu,sigma,7/10,0.7,1949,107/1380,0.07753623188405798
mu,sigma,7/10,0.7,1963,43/555,0.07747747747747748
mu,sigma,7/10,0.7,1973,248/3201,0.077475788815995
mu,sigma,7/10,0.7,1982,251/3240,0.07746913580246914
mu,sigma,7/10,0.7,1985,997/12870,0.07746697746697746
mu,sigma,7/10,0.7,1988,1117/14870,0.07511768661735037
mu,sigma,7/10,0.7,1989,111241/1488790,0.07471906716192345
mu,sigma,7/10,0.7,1991,4123/55430,0.07438210355403212
mu,sigma,7/10,0.7,1993,114511/1545290,0.07410324275702296
mu,sigma,7/10,0.7,1995,647137/8796480,0.07356772254356288
mu,sigma,7/10,0.7,1996,875264213/11922028680,0.07341571107510539
mu,sigma,7/10,0.7,2017,23813/325050,0.07325949853868635
mu,sigma,7/10,0.7,2023,218/3005,0.07254575707154742
mu,sigma,29/40,0.725,1920,17/250,0.068
mu,sigma,29/40,0.725,1988,3797/57440,0.06610376044568245
mu,sigma,29/40,0.725,1989,373453/5690480,0.06562767991452391
mu,sigma,29/40,0.725,1991,13693/209960,0.06521718422556677
mu,sigma,29/40,0.725,1993,188429/2904640,0.06487172248540267
mu,sigma,29/40,0.725,1995,1180057/18209600,0.06480411431332923
mu,sigma,29/40,0.725,1996,798086299/12349941830,0.06462267676932046
mu,sigma,29/40,0.725,2017,246863/3832420,0.0644143909070509
mu,sigma,29/40,0.725,2023,27346621/425362775,0.06429011330387338
mu,sigma,3/4,0.75,1920,3/50,0.06
mu,sigma,3/4,0.75,1988,333/5744,0.05797353760445682
mu,sigma,3/4,0.75,1989,32841/569048,0.05771217893745343
mu,sigma,3/4,0.75,1991,1207/20996,0.0574871404076967
mu,sigma,3/4,0.75,1993,16643/290464,0.05729797840696265
mu,sigma,3/4,0.75,1995,103863/1820960,0.057037496705034704
mu,sigma,3/4,0.75,1996,140596251/2469988366,0.05692182721803152
mu,sigma,3/4,0.75,2017,10881/191621,0.056783964179291414
mu,sigma,3/4,0.75,2023,9615193/170145110,0.05651172108325652
mu,sigma,31/40,0.775,1920,13/250,0.052
mu,sigma,31/40,0.775,1988,5927/118910,0.04984442014969304
mu,sigma,31/40,0.775,1989,590203/11852030,0.04979762960438001
mu,sigma,31/40,0.775,1991,7291/146530,0.04975772879273869
mu,sigma,31/40,0.775,1993,202481/4072060,0.04972446378491476
mu,sigma,31/40,0.775,1995,897203/18209600,0.04927087909674018
mu,sigma,31/40,0.775,1996,607876211/12349941830,0.049220977666742584
mu,sigma,31/40,0.775,2017,188377/3832420,0.04915353745153193
