cve,published,severity,reporter,explicit_ai,ai_affiliated,ai_evidence_url,fuzz,affected_versions,source_discovery,source_url,source_sha256,metadata_commit
CVE-2010-4180,2010-12-02,Unknown,Martin Rex,no,no,,no,1.0.0 to <1.0.0c; 0.9.8 to <0.9.8q,,https://raw.githubusercontent.com/openssl/release-metadata/597a9a75044fb94b2823d111fd96ad9607a38189/secjson/CVE-2010-4180.json,c550f91e25116ac3d8a0a16895d91a8a2171321724bb2cd3192e13dd5d45832d,597a9a75044fb94b2823d111fd96ad9607a38189
CVE-2010-4252,2010-12-02,Unknown,Sebastian Martini,no,no,,no,1.0.0 to <1.0.0c,,https://raw.githubusercontent.com/openssl/release-metadata/597a9a75044fb94b2823d111fd96ad9607a38189/secjson/CVE-2010-4252.json,6db7bfbaf156162aafce491fdedae1182e1376c78b33c242a05dba7c0cb1cb87,597a9a75044fb94b2823d111fd96ad9607a38189
CVE-2011-0014,2011-02-08,Unknown,Neel Mehta,no,no,,no,1.0.0 to <1.0.0d; 0.9.8h to <0.9.8r,,https://raw.githubusercontent.com/openssl/release-metadata/597a9a75044fb94b2823d111fd96ad9607a38189/secjson/CVE-2011-0014.json,2e3e7d0a6e506e58e41b823b3b9433a36d775fa8bf1918a2bb80a5fc02996ca9,597a9a75044fb94b2823d111fd96ad9607a38189
CVE-2011-3207,2011-09-06,Unknown,Kaspar Brand,no,no,,no,1.0.0 to <1.0.0e,,https://raw.githubusercontent.com/openssl/release-metadata/597a9a75044fb94b2823d111fd96ad9607a38189/secjson/CVE-2011-3207.json,fe506d248980e3cbdd8b8b392ae210ea7f4a1f49d6e19ff191e9ce331e483816,597a9a75044fb94b2823d111fd96ad9607a38189
CVE-2011-3210,2011-09-06,Unknown,Adam Langley,no,no,,no,1.0.0 to <1.0.0e,,https://raw.githubusercontent.com/openssl/release-metadata/597a9a75044fb94b2823d111fd96ad9607a38189/secjson/CVE-2011-3210.json,af77b6ab8a95e3be46b7d4f087a007ca660767b5b80adb4eaef3be41eb223f2e,597a9a75044fb94b2823d111fd96ad9607a38189
CVE-2011-4108,2012-01-04,Unknown,Nadhem Alfardan and Kenny Paterson,no,no,,no,1.0.0 to <1.0.0f; 0.9.8 to <0.9.8s,,https://raw.githubusercontent.com/openssl/release-metadata/597a9a75044fb94b2823d111fd96ad9607a38189/secjson/CVE-2011-4108.json,60fd9a08103d09428e92915176c6991df5884a36372c5430a481a5448a1bfe1f,597a9a75044fb94b2823d111fd96ad9607a38189
CVE-2011-4109,2012-01-04,Unknown,Ben Laurie,no,no,,no,0.9.8 to <0.9.8s,,https://raw.githubusercontent.com/openssl/release-metadata/597a9a75044fb94b2823d111fd96ad9607a38189/secjson/CVE-2011-4109.json,0155d4171c64c0ea0b48cc55d91a45f2f59bd84acb198f1ec0693af4c4ff1a93,597a9a75044fb94b2823d111fd96ad9607a38189
CVE-2011-4576,2012-01-04,Unknown,Adam Langley,no,no,,no,1.0.0 to <1.0.0f; 0.9.8 to <0.9.8s,,https://raw.githubusercontent.com/openssl/release-metadata/597a9a75044fb94b2823d111fd96ad9607a38189/secjson/CVE-2011-4576.json,04bd133353b37310e0b9947a377224282583ddd9a62c1949ed74850b70d87c54,597a9a75044fb94b2823d111fd96ad9607a38189
CVE-2011-4577,2012-01-04,Unknown,Andrew Chi,no,no,,no,1.0.0 to <1.0.0f; 0.9.8 to <0.9.8s,,https://raw.githubusercontent.com/openssl/release-metadata/597a9a75044fb94b2823d111fd96ad9607a38189/secjson/CVE-2011-4577.json,adbb6ef5ee1c53fc478e1cf80cb6932f56aa7c0dce6b12fd61f374865b12e975,597a9a75044fb94b2823d111fd96ad9607a38189
CVE-2011-4619,2012-01-04,Unknown,George Kadianakis,no,no,,no,1.0.0 to <1.0.0f; 0.9.8 to <0.9.8s,,https://raw.githubusercontent.com/openssl/release-metadata/597a9a75044fb94b2823d111fd96ad9607a38189/secjson/CVE-2011-4619.json,f96fe430e401911ad340c060041bf19b5c617ddc35ba6f08b44e0e521d5b4d28,597a9a75044fb94b2823d111fd96ad9607a38189
CVE-2012-0027,2012-01-04,Unknown,Andrey Kulikov,no,no,,no,1.0.0 to <1.0.0f,,https://raw.githubusercontent.com/openssl/release-metadata/597a9a75044fb94b2823d111fd96ad9607a38189/secjson/CVE-2012-0027.json,d80ba538fb6a8e991b323dc1abdcb92f48d899f50a1d06029cc65bf9fff06ee0,597a9a75044fb94b2823d111fd96ad9607a38189
CVE-2012-0050,2012-01-04,Unknown,Antonio Martin,no,no,,no,1.0.0f to <1.0.0g; 0.9.8s to <0.9.8t,,https://raw.githubusercontent.com/openssl/release-metadata/597a9a75044fb94b2823d111fd96ad9607a38189/secjson/CVE-2012-0050.json,bc0e49a78b3efdb4b4f10b304100775a7865a11b1f4ea9029189776c52058b53,597a9a75044fb94b2823d111fd96ad9607a38189
CVE-2012-0884,2012-03-12,Unknown,Ivan Nestlerode,no,no,,no,1.0.0 to <1.0.0h; 0.9.8 to <0.9.8u,,https://raw.githubusercontent.com/openssl/release-metadata/597a9a75044fb94b2823d111fd96ad9607a38189/secjson/CVE-2012-0884.json,8f372889cf461bab6141a3c4c9a161d7b778e386a11ef6e1c068ea6dc4907834,597a9a75044fb94b2823d111fd96ad9607a38189
CVE-2012-2110,2012-04-19,Unknown,Tavis Ormandy,no,no,,no,1.0.1 to <1.0.1a; 1.0.0 to <1.0.0i; 0.9.8 to <0.9.8v,,https://raw.githubusercontent.com/openssl/release-metadata/597a9a75044fb94b2823d111fd96ad9607a38189/secjson/CVE-2012-2110.json,da70df398c3c302f1071f3a133e0adc0c3582f72d30a707f23b03b5761b6f3ee,597a9a75044fb94b2823d111fd96ad9607a38189
CVE-2012-2131,2012-04-24,Unknown,Red Hat,no,no,,no,0.9.8v to <0.9.8w,,https://raw.githubusercontent.com/openssl/release-metadata/597a9a75044fb94b2823d111fd96ad9607a38189/secjson/CVE-2012-2131.json,f7d17257b1affdd521f3949df1cadc7ddfead47fe89f6adf93b4d99e2f7d4364,597a9a75044fb94b2823d111fd96ad9607a38189
