year,finder,explicit_ai,ai_affiliated,fuzz,ai_evidence_url,cves
2026,Muhammad Daffa; Zhanpeng Liu (Tencent Xuanwu Lab); Guannan Wang (Tencent Xuanwu Lab); Guancheng Li (Tencent Xuanwu Lab); Joshua Rogers (Aisle Research); Chanho Kim,yes,yes,no,https://aisle.com/blog/aisle-discovers-20-openssl-zero-days-in-6-months,1
2026,Quoc Tran (Xint.io - US Team),no,no,no,,1
2026,Simo Sorce (Red Hat),no,no,no,,1
2026,Frank Buss,no,no,no,,1
2026,Pavol Žáčik (Red Hat); Alex Gaynor (Anthropic),no,yes,no,,1
2026,Asim Viladi Oglu Manizada; Alex Gaynor (Anthropic); Ying Dong; Haiyang Huang,no,yes,no,,1
2026,Abhinav Agarwal,no,no,no,,1
2026,Wang Kenaz (University of Illinois); Guido Vranken (Aisle Research); Aaron Grattafiori (Nvidia),no,yes,no,,1
2026,Sunwoo Lee (KENTECH); Hyuk Lim (KENTECH); Seunghyun Yoon (KENTECH),no,no,no,,1
2026,Joshua Rogers (Aisle Research),no,yes,no,,1
2026,Mayank Jangid; Kushal Khemka; Hari Priandana; Bhabani Sankar Das; Qifan Zhang (Palo Alto Networks),no,no,no,,1
2026,Zhanpeng Liu (Tencent Xuanwu Lab); Guannan Wang (Tencent Xuanwu Lab); Guancheng Li (Tencent Xuanwu Lab); Bhabani Sankar Das,no,no,no,,1
2026,TrendAI Zero Day Initiative,no,no,no,,1
2026,Thai Duong (Calif.io in collaboration with Claude and Anthropic Research),yes,yes,no,https://raw.githubusercontent.com/openssl/release-metadata/597a9a75044fb94b2823d111fd96ad9607a38189/secjson/CVE-2026-45447.json,1
2026,Zehua Qiao; Jinwen He,no,no,no,,1
2026,Bhabani Sankar Das; Haruki Oyama (Waseda University),no,no,no,,1
2026,Bhabani Sankar Das; Zhenzhe Shao,no,no,no,,1
